Replicate,Day,Well_Num,Culture,Hgui_Alive_Num,Hgui_Dead_Num,Scer_Alive_Num,Scer_Dead_Num,Total_Cells,Hgui_Alive_Total_Alive,Scer_Alive_Total_Alive,Hgui_Dead_Total_Hgui,Scer_Dead_Total_Scer,Hgui_Alive_Total_Hgui,Scer_Alive_Total_Scer,AliveRatio_Hgui_Scer
1,7,F4,3821,9188,6348,11769,2695,30000,0.43842153,0.56157847,0.408599382,0.186324668,0.591400618,0.813675332,0.780695046
1,7,F6,3920,4666,10518,266,14550,30000,0.946066504,0.053933496,0.692702845,0.982046436,0.307297155,0.017953564,17.54135338
1,7,G1,3824,4127,22247,1867,1759,30000,0.688521855,0.311478145,0.843520133,0.485107557,0.156479867,0.514892443,2.210498125
1,7,G3,3984,13047,12785,203,3965,30000,0.984679245,0.015320755,0.494928771,0.951295585,0.505071229,0.048704415,64.27093596
1,7,G5,3850,9823,19823,22,332,30000,0.997765363,0.002234637,0.668656817,0.937853107,0.331343183,0.062146893,446.5
1,7,H1,3324m,3698,3310,20709,2283,30000,0.15151391,0.84848609,0.472317352,0.099295407,0.527682648,0.900704593,0.178569704
1,7,H2,3842,17134,6256,4718,1892,30000,0.784092989,0.215907011,0.267464729,0.28623298,0.732535271,0.71376702,3.631623569
1,7,H3,b,753,940,244,63,2000,0.755265797,0.244734203,0.555227407,0.205211726,0.444772593,0.794788274,3.086065574
1,7,H4,3822,7256,6773,11829,4142,30000,0.38019387,0.61980613,0.482785658,0.259345063,0.517214342,0.740654937,0.613407727
1,7,H6,3973,14015,8049,5514,2422,30000,0.717650673,0.282349327,0.364802393,0.305191532,0.635197607,0.694808468,2.541712006
2,7,A1,3905,1508,7284,17265,3943,30000,0.080328131,0.919671869,0.828480437,0.185920407,0.171519563,0.814079593,0.087344338
2,7,A3,3822,2460,20419,4483,2638,30000,0.354313697,0.645686303,0.892477818,0.370453588,0.107522182,0.629546412,0.548739683
