Replicate,Day,Well_Num,Culture,Q1_Scer,Scer_Stained,Scer_Dead_Num,Hgui_Dead_Num,Hgui_Alive_Num,Scer_Alive_Num,Total_Cells,Hgui_Alive_Total_Alive,Per_Hgui_Alive_Total_Alive,Scer_Alive_Total_Alive,Per_Scer_Alive_Total_Alive,Hgui_Dead_Total_Hgui,Per_Hgui_Dead_Total_Hgui,Scer_Dead_Total_Scer,Per_Scer_Dead_Total_Scer,Scer_Alive_Total_Scer,Per_Scer_Alive_Total_Scer,Hgui_Alive_Total_Hgui,Per_Hgui_Alive_Total_Hgui
1,6,D2,3852,97,16377,1125,9903,3623,15252,30000,0.19194701986754967,19.194701986754968,0.8080529801324503,80.80529801324504,0.7321454975602544,73.21454975602543,0.06828942576180648,6.828942576180648,0.9258225081947311,92.58225081947312,0.2678545024397457,26.78545024397457
1,7,D2,3852,79,8911,1158,18201,2809,7753,30000,0.265953417913274,26.5953417913274,0.734046582086726,73.4046582086726,0.866301761066159,86.63017610661589,0.12880978865406006,12.880978865406007,0.8624026696329254,86.24026696329254,0.13369823893384103,13.369823893384103
1,8,D2,3852,82,27990,415,1620,308,27575,30000,0.011046157156690457,1.1046157156690457,0.9889538428433096,98.89538428433096,0.8402489626556017,84.02489626556017,0.014783414078084924,1.4783414078084924,0.9822955257908236,98.22955257908235,0.15975103734439833,15.975103734439832
1,9,D2,3852,206,9297,1441,17077,3420,7856,30000,0.3032990422135509,30.329904221355093,0.6967009577864491,69.6700957786449,0.8331463140947456,83.31463140947456,0.1516363253709355,15.16363253709355,0.8266863095864464,82.66863095864464,0.16685368590525443,16.685368590525442
2,6,E1,3920,42,5777,538,19613,4568,5239,30000,0.4657897420210054,46.57897420210054,0.5342102579789946,53.42102579789946,0.8110913527149415,81.10913527149415,0.09245574841037979,9.245574841037978,0.9003265165836054,90.03265165836054,0.18890864728505852,18.890864728505854
2,7,E1,3920,64,15235,701,11320,3381,14534,30000,0.18872453251465252,18.872453251465252,0.8112754674853475,81.12754674853475,0.7700156451942045,77.00156451942046,0.045819988234525134,4.581998823452514,0.9499967318125367,94.99967318125367,0.22998435480579552,22.998435480579552
2,5,E1,3920,40,7132,914,18078,4750,6218,30000,0.43307804522246535,43.307804522246535,0.5669219547775346,56.69219547775346,0.7919222008060277,79.19222008060277,0.12744004461795874,12.744004461795875,0.8669827105409927,86.69827105409928,0.20807779919397232,20.80777991939723
2,9,E1,3920,142,25774,400,3174,910,25374,30000,0.034621823162380154,3.462182316238015,0.9653781768376198,96.53781768376199,0.777179236043095,77.7179236043095,0.01543448062972681,1.543448062972681,0.9790862787467202,97.90862787467202,0.222820763956905,22.2820763956905
2,8,E1,3920,54,24360,830,4544,1042,23530,30000,0.042405990558359107,4.240599055835911,0.9575940094416409,95.759400944164085,0.8134622269960616,81.34622269960616,0.033996887032030805,3.3996887032030805,0.9637912673056444,96.37912673056444,0.18653777300393842,18.65377730039384
1,6,E5,3852,40,5365,446,11621,12974,4919,30000,0.7250880232493154,72.50880232493154,0.27491197675068463,27.491197675068463,0.47249440943281157,47.24944094328116,0.08251618871415356,8.251618871415356,0.9100832562442183,91.00832562442183,0.5275055905671885,52.75055905671885
