"","Replicate","Day","Well_Num","Culture","Hgui_Alive_Num","Hgui_Dead_Num","Scer_Alive_Num","Scer_Dead_Num","Total_Cells","Hgui_totalprop","Scer_totalprop","norm_Hgui_totalprop"
"170","3",5,"D2","3911",15474,10779,2102,1645,30000,0.8751,0.1249,0.86849166062364
"171","3",5,"D4","3824",23164,482,6321,33,30000,0.7882,0.2118,0.773966642494561
"172","3",5,"D6","3973",3922,24357,622,1099,30000,0.942633333333333,0.0573666666666667,0.941950688905004
"173","3",5,"E1","3842",2736,17861,5343,4060,30000,0.686566666666667,0.313433333333333,0.663415518491661
"174","3",5,"E5","3905",7787,8415,8480,5318,30000,0.540066666666667,0.459933333333333,0.504060913705584
"175","3",5,"F2","3905",18448,17085,10138,6123,51794,0.686044715604124,0.313955284395876,0.662847768967503
"176","3",5,"F4","3822",3471,18458,5142,2929,30000,0.730966666666667,0.269033333333333,0.711711385061639
"177","3",5,"G5","3911",11975,12465,3022,2538,30000,0.814666666666667,0.185333333333333,0.802755620014503
"178","3",5,"H4","3821",4859,14208,6781,4152,30000,0.635566666666667,0.364433333333333,0.60794053662074
"179","3",5,"H6","3324m",9349,8871,7468,4312,30000,0.607333333333333,0.392666666666667,0.577229876722262
"180","1",6,"A3","3911",10211,13689,3966,2134,30000,0.796666666666667,0.203333333333333,0.780353857150522
"181","1",6,"A5","3824",7324,13539,4103,5034,30000,0.695433333333333,0.304566666666667,0.662937355755054
"182","1",6,"B2","3905",6586,18351,2897,2166,30000,0.831233333333333,0.168766666666667,0.820446353675744
"183","1",6,"B6","3842",5751,10305,10253,3691,30000,0.5352,0.4648,0.477089110049417
"184","1",6,"C1","3821",5895,6909,13420,3776,30000,0.4268,0.5732,0.351360278130397
"185","1",6,"D6","3911",15703,11575,1470,1252,30000,0.909266666666667,0.0907333333333333,0.910954101376367
"186","1",6,"E1","3822",8493,9670,5857,5980,30000,0.605433333333333,0.394566666666667,0.558549949180221
"187","1",6,"E3","3973",2745,16666,3692,6897,30000,0.647033333333333,0.352966666666667,0.606800128219255
"188","1",6,"F4","3821",11806,8886,6683,2625,30000,0.689733333333333,0.310266666666667,0.656326153338647
"189","1",6,"G1","3824",5163,21739,1754,1344,30000,0.896733333333333,0.103266666666667,0.896417188460761
"190","1",6,"H1","3324m",13659,9110,6044,1187,30000,0.758966666666667,0.241033333333333,0.736627132396398
"191","1",6,"H2","3842",16085,7054,4446,2415,30000,0.7713,0.2287,0.750932073297393
"192","1",6,"H4","3822",5391,5775,12631,6203,30000,0.3722,0.6278,0.288031918141666
"193","1",6,"H6","3973",13116,7144,7643,2097,30000,0.675333333333333,0.324666666666667,0.639624168286674
"194","2",6,"A1","3905",2197,12687,10037,5079,30000,0.496133333333333,0.503866666666667,0.452077907787111
"195","2",6,"A3","3822",2211,25573,693,1523,30000,0.926133333333333,0.0738666666666667,0.925246671312768
"196","2",6,"B2","3821",3680,5198,14440,6682,30000,0.295933333333333,0.704066666666667,0.231779334629351
"197","2",6,"B6","3842",2711,23850,1128,2311,30000,0.885366666666667,0.114633333333333,0.880387338150607
"198","2",6,"D4","3911",8651,7667,9555,4127,30000,0.543933333333333,0.456066666666667,0.504676668011591
"199","2",6,"D6","3824",3433,6226,15145,5196,30000,0.321966666666667,0.678033333333333,0.260426218684664
"200","2",6,"E3","3842",1859,12800,2470,12871,30000,0.488633333333333,0.511366666666667,0.443824964237245
"201","2",6,"E5","3324m",2113,9222,6629,12036,30000,0.377833333333333,0.622166666666667,0.321901478193889
"202","2",6,"F2","3324m",3224,22476,1591,2709,30000,0.856666666666667,0.143333333333333,0.848806074166453
"203","2",6,"F4","3905",4847,5939,14098,5116,30000,0.359533333333333,0.640466666666667,0.301764295932216
"204","2",6,"F6","3822",2307,16826,4424,6443,30000,0.637766666666667,0.362233333333333,0.607930161757694
"205","2",6,"G1","3973",7568,7580,11832,3020,30000,0.504933333333333,0.495066666666667,0.461761361552287
"206","2",6,"H6","3821",1519,9153,12726,6602,30000,0.355733333333333,0.644266666666667,0.297582804533617
"207","3",6,"A1","3822",16261,11172,1945,622,30000,0.914433333333333,0.0855666666666667,0.90951723135088
"208","3",6,"A6","3821",3466,20111,3833,2590,30000,0.7859,0.2141,0.769339828413553
"209","3",6,"B4","3842",7014,7018,12569,3399,30000,0.467733333333333,0.532266666666667,0.422349861858368
"210","3",6,"C1","3824",9957,12276,6237,1530,30000,0.7411,0.2589,0.720481314526683
"211","3",6,"D2","3911",12596,10973,5124,1307,30000,0.785633333333333,0.214366666666667,0.769049003926131
"212","3",6,"D4","3824",2429,24302,1915,1354,30000,0.891033333333333,0.108966666666667,0.883997382579613
"213","3",6,"D6","3973",2611,26523,202,664,30000,0.971133333333333,0.0288666666666667,0.971353787988949
"214","3",6,"E1","3842",3140,11201,12472,3187,30000,0.478033333333333,0.521966666666667,0.433582957685037
"215","3",6,"E3","3324m",5719,6713,12338,5230,30000,0.4144,0.5856,0.364184964374
"216","3",6,"E5","3905",4416,6168,14378,5038,30000,0.3528,0.6472,0.297004507779555
"217","3",6,"F2","3905",14881,16841,9058,3829,44609,0.711112107422269,0.288887892577731,0.687776763947509
"218","3",6,"F4","3822",4490,24389,384,737,30000,0.962633333333333,0.0373666666666667,0.962083757452378
"219","3",6,"G5","3911",11343,13424,3916,1317,30000,0.825566666666667,0.174433333333333,0.812599970917551
"220","3",6,"H4","3821",3686,21980,2636,1698,30000,0.855533333333333,0.144466666666667,0.845281372691581
"221","3",6,"H6","3324m",5308,4742,15589,4361,30000,0.335,0.665,0.277591973244147
"222","1",7,"A5","3824",3346,23522,940,2192,30000,0.8956,0.1044,0.895526379669365
"223","1",7,"B2","3905",2515,11297,10785,5403,30000,0.4604,0.5396,0.423275292628278
"224","1",7,"B4","3324m",20313,120836,9224,12557,162930,0.866316823175597,0.133683176824403,0.863750157042203
"225","1",7,"B6","3842",6142,11569,9560,2729,30000,0.590366666666667,0.409633333333333,0.564306771517157
"226","1",7,"C1","3821",11154,10453,5245,3148,30000,0.720233333333333,0.279766666666667,0.70522973682905
"227","1",7,"E1","3822",11611,11248,3634,3507,30000,0.761966666666667,0.238033333333333,0.75051606962435
"228","1",7,"E3","3973",3328,19860,3217,3595,30000,0.772933333333333,0.227066666666667,0.762416391900431
"229","1",7,"F4","3821",9188,6348,11769,2695,30000,0.517866666666667,0.482133333333333,0.485634428202637
"230","1",7,"G1","3824",4127,22247,1867,1759,30000,0.879133333333333,0.120866666666667,0.877657810659079
"231","1",7,"H1","3324m",3698,3310,20709,2283,30000,0.2336,0.7664,0.177166500025065
"232","1",7,"H2","3842",17134,6256,4718,1892,30000,0.779666666666667,0.220333333333333,0.769722972750791
"233","1",7,"H4","3822",7256,6773,11829,4142,30000,0.467633333333333,0.532366666666667,0.431124441363566
"234","1",7,"H6","3973",14015,8049,5514,2422,30000,0.735466666666667,0.264533333333333,0.721759971723181
"235","2",7,"A1","3905",1508,7284,17265,3943,30000,0.293066666666667,0.706933333333333,0.224476246680437
"236","2",7,"A3","3822",2460,20419,4483,2638,30000,0.762633333333333,0.237366666666667,0.744061670109177
"237","2",7,"B2","3821",7189,5529,14733,2549,30000,0.423933333333333,0.576066666666667,0.369282974328711
"238","2",7,"B6","3842",2816,23595,1700,1889,30000,0.880366666666667,0.119633333333333,0.874336087341399
"239","2",7,"D4","3911",2548,2817,21012,3623,30000,0.178833333333333,0.821166666666667,0.0980746532900561
"240","2",7,"D6","3824",2148,4483,19205,4164,30000,0.221033333333333,0.778966666666667,0.144769843611685
"241","2",7,"F4","3905",5424,6877,15005,2694,30000,0.410033333333333,0.589966666666667,0.353902331071112
"242","2",7,"F6","3822",1889,12201,8683,7227,30000,0.469666666666667,0.530333333333333,0.41988787252877
"243","2",7,"G1","3973",5859,6676,14483,2982,30000,0.417833333333333,0.582166666666667,0.36253319563293
"244","2",7,"H6","3821",2326,18215,6031,3428,30000,0.6847,0.3153,0.657826792564178
"245","3",7,"A1","3822",6273,5065,16630,2032,30000,0.377933333333333,0.622066666666667,0.298773774723815
"246","3",7,"A3","3973",1084,6181,19819,2916,30000,0.242166666666667,0.757833333333333,0.144147906305759
"247","3",7,"A6","3821",2626,20692,3585,3097,30000,0.777266666666667,0.222733333333333,0.753578072206826
"248","3",7,"B4","3842",4560,5224,16797,3419,30000,0.326133333333333,0.673866666666667,0.239778292395885
"249","3",7,"D2","3911",3652,3940,19990,2418,30000,0.253066666666667,0.746933333333333,0.15656201359098
"250","3",7,"D4","3824",1437,13918,10792,3853,30000,0.511833333333333,0.488166666666667,0.451273679814738
"251","3",7,"D6","3973",2463,25074,637,1826,30000,0.9179,0.0821,0.913746630727763
"252","3",7,"E1","3842",1441,6698,18481,3380,30000,0.2713,0.7287,0.177328119661364
"253","3",7,"E3","3324m",2053,3149,19723,5075,30000,0.1734,0.8266,0.0658289358794275
"254","3",7,"F2","3905",4918,6361,14742,3979,30000,0.375966666666667,0.624033333333333,0.296533920504157
"255","3",7,"F4","3822",2922,16895,6412,3771,30000,0.660566666666667,0.339433333333333,0.620667400630196
"256","3",7,"G5","3911",2575,3847,21416,2162,30000,0.214066666666667,0.785933333333333,0.112144565506245
"257","3",7,"H4","3821",3322,12742,12661,1275,30000,0.535466666666667,0.464533333333333,0.47818989408147
"258","3",7,"H6","3324m",3205,3300,20003,3492,30000,0.216833333333333,0.783166666666667,0.115295546866102
"259","1",8,"A3","3911",2682,5373,18283,3662,30000,0.2685,0.7315,0.216915785636165
"260","1",8,"A5","3824",1711,7358,15784,5147,30000,0.3023,0.6977,0.253882610280715
"261","1",8,"B2","3905",1854,8076,15182,4888,30000,0.331,0.669,0.285271600437477
"262","1",8,"B4","3324m",647,2641,23725,2987,30000,0.1096,0.8904,0.0431279620853081
"263","1",8,"B6","3842",3487,7501,15720,3292,30000,0.366266666666667,0.633733333333333,0.323842508202698
"264","1",8,"C1","3821",590,704,26771,1935,30000,0.0431333333333333,0.956866666666667,-0.0295661684287277
"265","1",8,"C5","3905",1299,1528,25440,1733,30000,0.0942333333333333,0.905766666666667,0.0263215457528254
"266","1",8,"D6","3911",5333,3992,18826,1849,30000,0.310833333333333,0.689166666666667,0.263215457528254
